card_name,rarity,credits,draw_time
flower7,common,5,2025-05-15 13:57:29
flower8,common,5,2025-05-15 13:57:29
sp1,legendary,20,2025-05-15 13:57:29
flower1,common,5,2025-05-15 13:58:56
mountain,rare,10,2025-05-15 13:58:56
withchain,legendary,20,2025-05-15 13:58:56
flower4,common,5,2025-05-15 13:59:36
flower3,common,5,2025-05-15 13:59:36
sp1,legendary,20,2025-05-15 13:59:36
flower2,common,5,2025-05-15 13:59:52
PC,rare,10,2025-05-15 13:59:52
earth,rare,10,2025-05-15 13:59:52
flower7,common,5,2025-05-15 14:02:21
flower8,common,5,2025-05-15 14:02:21
sp1,legendary,20,2025-05-15 14:02:21
flower6,common,5,2025-05-15 14:03:28
flower9,common,5,2025-05-15 14:03:28
earth,rare,10,2025-05-15 14:03:28
flower5,common,5,2025-05-15 14:04:24
flower10,common,5,2025-05-15 14:04:24
withchain,legendary,20,2025-05-15 14:04:24
PC,rare,10,2025-05-15 14:04:25
mountain,rare,10,2025-05-15 14:04:25
flower3,common,5,2025-05-15 17:37:56
PC,rare,10,2025-05-15 17:37:56
earth,rare,10,2025-05-15 17:37:56
flower4,common,5,2025-05-15 17:38:11
mountain,rare,10,2025-05-15 17:38:11
PC,rare,10,2025-05-15 17:38:11
flower2,common,5,2025-05-15 17:38:27
mountain,rare,10,2025-05-15 17:38:27
software_license,legendary,20,2025-05-15 17:38:27
